Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
7506006805463,PLACA 1 VENTANA,4.0,30.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7506006806811,PLACA 4 VENTANAS TOSCANA,1.0,60.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7501942344434,PLACA APAGADOR TRIPLE,5.0,70.0,60.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7501942344427,PLACA APAGAR DOBLE SANELEC,3.0,55.0,45.0,FERREPAT,2026-09-08 00:37:17
7506240672937,PLACA C/2INTERRUPTORES SENCILLOS Y 1CONTACTO ATERRIZADO,5.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
218,Placa Con 2 Ventanas Kley,0.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
217,Placa Con 2 Ventanas Strom,0.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
213.,Placa Con Doble Apagador,2.0,50.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240672890,Placa Con Interruptor Sencillo Y Contacto Aterrizado Volteck,0.0,60.0,50.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
211,Placa Con Ventana Rectangular,3.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
214.,Placa De 1 Apagador,3.0,55.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
210,Placa De 1 Ventana,5.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
215,Placa De 1 Ventana,8.0,16.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
219,Placa De 1 Ventana,6.0,20.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
220,Placa De 2 Ventanas Samy,12.0,15.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
209,Placa De 3 Ventanas,4.0,18.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
230,PLACA DE DOS VENTANAS,7.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
212.,Placa De Ventana Rectangular Blanca,10.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
216,Placa Tapa,2.0,15.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7506006805449,PLACA TRES VENTANAS TOSCANA,1.0,55.0,0.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
PLGFN20,Plaga Fin,0.0,110.0,100.0,LION TOOLS,2026-09-08 00:37:17
PLAGAFIN,PLAGAFIN CUCARACHA,1.0,110.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
PT7,PLANTILLA NUMERO,30.0,15.0,0.0,bvh,2026-09-08 00:37:17
PT4,PLANTILLA NUMERO 4,24.0,15.0,0.0,bvh,2026-09-08 00:37:17
PT8,PLANTILLA NUMERO 8,49.0,15.0,0.0,bvh,2026-09-08 00:37:17
PT6,PLANTILLAS NUMERO 6,45.0,15.0,0.0,bvh,2026-09-08 00:37:17
7501600550931,PLASTIACERO,0.0,135.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501102630001,Plastiloka,4.0,30.0,20.0,PUEBLA,2026-09-08 00:37:17
7501102631206,PLASTILOKA AZUL,0.0,30.0,20.0,PUEBLA,2026-09-08 00:37:17
PLOMO2,PLOMO JOLMAR #2,1.0,170.0,0.0,LION TOOLS,2026-09-08 00:37:17
PLOMO3,PLOMO JOLMAR #3,1.0,210.0,0.0,LION TOOLS,2026-09-08 00:37:17
PLOMO JOLMAR #4,Plomo Jolmar #4,3.0,240.0,210.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
7501014511016,PLUMA BIC CAJA C12,0.0,6.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
4710635814786,PLUMONPERMANENTE,27.0,5.0,3.0,PUEBLA,2026-09-08 00:37:17
SOQUET C/CLAVIJA SEN,Po240,24.0,15.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
40134,Poliducto Corrugado Flexibkle Media Pulgada 50m,1.0,350.0,340.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
